Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Starnini, M., Boguñá, M., Serrano, M.Á.","39262696800;6603939478;57200717641;","The interconnected wealth of nations: Shock propagation on global trade-investment multiplex networks",2019,"Scientific Reports","9","1","13079","","",,7,"10.1038/s41598-019-49173-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072110114&doi=10.1038%2fs41598-019-49173-2&partnerID=40&md5=eb4b6f3b79b74a10257b67d8bb4a7772",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85072110114
"Wang, C., Wang, G., Luo, X., Li, H.","55311342200;57210371309;23005241300;57060865600;","Modeling rumor propagation and mitigation across multiple social networks",2019,"Physica A: Statistical Mechanics and its Applications","535",,"122240","","",,7,"10.1016/j.physa.2019.122240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070493285&doi=10.1016%2fj.physa.2019.122240&partnerID=40&md5=6cafaf6b587dbe34a852290a4ed7b3ab",Article,"Final","",Scopus,2-s2.0-85070493285
"Scabini, L.F.S., Condori, R.H.M., Gonçalves, W.N., Bruno, O.M.","57190870680;56454296700;23396539500;7005034358;","Multilayer complex network descriptors for color–texture characterization",2019,"Information Sciences","491",,,"30","47",,7,"10.1016/j.ins.2019.02.060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063901933&doi=10.1016%2fj.ins.2019.02.060&partnerID=40&md5=229f2f9a04f4d42fe5668b835a14f6e9",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85063901933
"Dang, W., Gao, Z., Lv, D., Liu, M., Cai, Q., Hong, X.","57102963900;24921442300;57205409274;57205404697;56816256100;57205401449;","A novel time-frequency multilayer network for multivariate time series analysis",2018,"New Journal of Physics","20","12","125005","","",,7,"10.1088/1367-2630/aaf51c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059904710&doi=10.1088%2f1367-2630%2faaf51c&partnerID=40&md5=ee228926d54152ea99bb42a862fe8aae",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85059904710
"An, N., Chen, H., Ma, C., Zhang, H.","57205405508;15768963700;57116866400;56923934600;","Spontaneous symmetry breaking and discontinuous phase transition for spreading dynamics in multiplex networks",2018,"New Journal of Physics","20","12","125006","","",,7,"10.1088/1367-2630/aaf660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059881458&doi=10.1088%2f1367-2630%2faaf660&partnerID=40&md5=4b3374e68246022cd97b0ff15e50f83e",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85059881458
"Manivannan, A., Yow, W.Q., Bouffanais, R., Barrat, A.","57203875070;56194336300;14012552000;7003666520;","Are the different layers of a social network conveying the same information?",2018,"EPJ Data Science","7","1","34","","",,7,"10.1140/epjds/s13688-018-0161-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053307421&doi=10.1140%2fepjds%2fs13688-018-0161-9&partnerID=40&md5=30e2f1feafe82d33fa2d6de6ae3a15d8",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85053307421
"Türker, I., Sulak, E.E.","55844304100;57195732297;","A multilayer network analysis of hashtags in twitter via co-occurrence and semantic links",2018,"International Journal of Modern Physics B","32","4","1850029","","",,7,"10.1142/S0217979218500297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029724805&doi=10.1142%2fS0217979218500297&partnerID=40&md5=e03139139acfc5ce3b30d46f207d6d85",Article,"Final","",Scopus,2-s2.0-85029724805
"Kempton, L.C., Herrmann, G., di Bernardo, M.","54890205600;7202781941;7006817977;","Distributed optimisation and control of graph Laplacian eigenvalues for robust consensus via an adaptive multilayer strategy",2017,"International Journal of Robust and Nonlinear Control","27","9",,"1499","1525",,7,"10.1002/rnc.3808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017114117&doi=10.1002%2frnc.3808&partnerID=40&md5=4c75953fb754c14941a45a5584d47b70",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85017114117
"Santana, J., Hoover, R., Vengadasubbu, M.","56938083600;57191710711;57191708046;","Investor commitment to serial entrepreneurs: A multilayer network analysis",2017,"Social Networks","48",,,"256","269",,7,"10.1016/j.socnet.2016.10.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992515095&doi=10.1016%2fj.socnet.2016.10.002&partnerID=40&md5=7cbbb0b4f9cbf709cd2786e76f1764e1",Article,"Final","",Scopus,2-s2.0-84992515095
"Rojas, A., Calatayud, J., Kowalewski, M., Neuman, M., Rosvall, M.","56675400100;56270005000;35614855500;57211987267;9241534000;","A multiscale view of the Phanerozoic fossil record reveals the three major biotic transitions",2021,"Communications biology","4","1",,"309","",,6,"10.1038/s42003-021-01805-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102686495&doi=10.1038%2fs42003-021-01805-y&partnerID=40&md5=701295073519e47978990c944837d471",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85102686495
"Cheng, J., Zhang, J., Wu, Z., Sun, X.","57222618661;56295386400;8909314700;55727869600;","Inferring microenvironmental regulation of gene expression from single-cell RNA sequencing data using scMLnet with an application to COVID-19",2021,"Briefings in Bioinformatics","22","2",,"988","1005",,6,"10.1093/bib/bbaa327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102631691&doi=10.1093%2fbib%2fbbaa327&partnerID=40&md5=922754282b454095ca80c3bbc00ad13c",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85102631691
"Rybalova, E.V., Strelkova, G.I., Anishchenko, V.S.","57189659228;6603074246;7005745068;","Impact of sparse inter-layer coupling on the dynamics of a heterogeneous multilayer network of chaotic maps",2021,"Chaos, Solitons and Fractals","142",,"110477","","",,6,"10.1016/j.chaos.2020.110477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096915910&doi=10.1016%2fj.chaos.2020.110477&partnerID=40&md5=d8dc4496c35155f38f7537a3e7a64775",Article,"Final","",Scopus,2-s2.0-85096915910
"Morais, R.M.","24765149000;","On the suitability, requisites, and challenges of machine learning [Invited]",2021,"Journal of Optical Communications and Networking","13","1",,"A1","A12",,6,"10.1364/JOCN.401568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092587396&doi=10.1364%2fJOCN.401568&partnerID=40&md5=e607514fc086a4f90d6c5db3ab2a3fb8",Article,"Final","",Scopus,2-s2.0-85092587396
"Wu, D., Tang, M., Liu, Z., Lai, Y.-C.","57111104000;14421628700;8579798700;7401512359;","Impact of inter-layer hopping on epidemic spreading in a multilayer network",2020,"Communications in Nonlinear Science and Numerical Simulation","90",,"105403","","",,6,"10.1016/j.cnsns.2020.105403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086830537&doi=10.1016%2fj.cnsns.2020.105403&partnerID=40&md5=cd8766fc457647937f6185502fe2fba8",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85086830537
"Costa, J.M., Ramos, J.A., Timóteo, S., da Silva, L.P., Ceia, R.S., Heleno, R.H.","57212821585;35270086800;35604980600;37001737600;26326171700;26326324000;","Species temporal persistence promotes the stability of fruit–frugivore interactions across a 5-year multilayer network",2020,"Journal of Ecology","108","5",,"1888","1898",,6,"10.1111/1365-2745.13391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084119264&doi=10.1111%2f1365-2745.13391&partnerID=40&md5=e40425aaba0a7ddf57f224f8fa25bffd",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85084119264
"Fritsch, M., Titze, M., Piontek, M.","7005829926;36697182300;57192814221;","Identifying cooperation for innovation―a comparison of data sources",2020,"Industry and Innovation","27","6",,"630","659",,6,"10.1080/13662716.2019.1650253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070830607&doi=10.1080%2f13662716.2019.1650253&partnerID=40&md5=1d68c1826ad17d520f8d41ad73075282",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85070830607
"Nagy, L., Ruppert, T., Abonyi, J.","56817942000;57203063137;7003663899;","Analytic hierarchy process and multilayer network-based method for assembly line balancing",2020,"Applied Sciences (Switzerland)","10","11","3932","","",,6,"10.3390/app10113932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086947047&doi=10.3390%2fapp10113932&partnerID=40&md5=3fd15c5c7a1e02d1d9dd894bc892a538",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85086947047
"Rahimian, E., Zabihi, S., Atashzar, S.F., Asif, A., Mohammadi, A.","57196098383;57196086501;12040259900;7003843725;57202524232;","Surface EMG-Based Hand gesture recognition via hybrid and dilated deep neural network architectures for neurorobotic prostheses",2020,"Journal of Medical Robotics Research","5","1-2","2041001","","",,6,"10.1142/S2424905X20410019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094963194&doi=10.1142%2fS2424905X20410019&partnerID=40&md5=460faae85e5ed618ee3142b1a0d79c29",Article,"Final","",Scopus,2-s2.0-85094963194
